application_type,applications,with_conditions,refused
"Householder Application",38310,8638,5946
"Full Planning Permission",37967,10589,9309
Householder,35874,13776,5651
"Full Application",12945,2552,3555
"Approval of Details",11175,255,847
"Detailed Planning Application",11041,7984,1497
"Certificate of Lawfulness - Proposed",8417,1807,1733
"Proposed Lawful Development Certificate",7198,0,911
"Cert. Lawfulness Proposed",6396,0,678
"Prior Approval - Householders",5956,1,1676
"Prior Notification (Householder)",5663,0,3057
"Certificate of Lawful Development - Proposed",5293,120,731
"Cert of Lawful Use/Operation - Proposed",5220,2,832
"Householder Planning",5130,3152,1117
"Application for Full Permission",5114,3754,584
"Section 192 Certificate - proposed",4941,2,470
"Prior Approval - Large householder",4753,0,1645
"PA Householder Rear Extension",4751,0,1594
"Section 192 Permitted Development",4265,0,443
"Details (following full perm.)",4019,3683,46
"Prior Approval - Larger Home Extension",3756,14,1140
"Certificate of Lawfulness Proposed Use",3739,0,798
"Lawful Development Certificate proposed",3604,0,514
"Non-Material Amendment",3562,1192,676
"Certificate of Lawful Use proposed",3455,0,501
"PA - Householder Class A extensions up to 6/8m long - Part 1, Sched. 2",3449,0,850
"Full Planning",3072,1686,770
"Lawful Development Certificate (Proposed Use)",2932,0,275
"Lawful Development Certificate-Proposed",2800,0,356
"Approval of details reserved by condition (discharge)",2736,2495,0
"Certificate of Proposed Use",2513,0,278
"Details Reserved by Condition",2498,2,352
"Variation of Condition",2481,1387,210
"Conditions pursuant to a full permission",2401,0,155
"Full Planning Application",2183,1142,516
"Householder Planning Permission",1954,0,661
"PP (Planning permission)",1933,135,277
"Approval of Details (Following Full PP)",1919,0,326
"Prior Approval: Larger Home Extension",1819,0,411
"Minor application",1788,2,220
"Full Planning (Householder)",1675,1301,263
"Householder Prior Approval",1675,0,472
"Details pursuant to Planning Condition",1633,23,108
"General Permitted Development-Extensions",1526,0,383
"CON (Conditions)",1491,1286,0
"Certificate of Lawful Dev. - Proposed",1374,0,85
"Variation: Non-Material Changes",1310,0,68
"Vary/Remove condition/Minor Mtl Amnd",1297,806,158
"Non Material Amendment",1290,51,176
"Non Material Change - Minor Amendment",1227,0,158
"Householder planning permission",1197,290,182
"Non Material Amendments",1086,0,158
"Non-material amendment (TCPA S96a)",1003,0,72
"Non-material amendments",925,0,159
"Discharge of Conditions",892,420,61
"Non-Material Amendment to planning permission",829,0,122
"Prior Approval Residential Extension",781,0,140
"Certificate of Lawfulness (Proposed)",773,639,100
"Householders Extensions Prior Approval",765,0,214
"Full planning permission",679,101,192
"Minor Amendment Application",666,37,86
"General Permitted Development Extension",642,340,154
"Discharge Condition",608,0,40
"Change of Use",606,0,157
"Planning Permission",598,37,60
"Cert. of Law. Existing Dev. (TCPA S191)",593,0,64
"NMA (Non-Material Amendments)",593,0,71
"Householder (fasttrack)",582,490,73
"Full Detailed Planning Application",576,0,8
"Prior Approval Householder Application",555,0,172
"Lawful development: Proposed use",552,1,54
"Cert. Lawfulness Proposed (fasttrack)",539,0,69
"Matters relating to a S106 Agreement",526,445,4
"Householder Applications",525,0,110
"Cert. of Law. Proposed Dev. (TCPA S192)",509,0,73
"Certificate of Lawfulness - Existing",502,59,165
"Listed Building Consent",472,11,84
"S.73 Vary/Remove Conds/Minor Alterations",456,0,34
Full,433,93,42
"Variation of Conditions",432,0,75
"Prior Approval Determination",410,233,97
"Variation of a legal agreement",384,1,17
"Certificate of Lawful Use existing",381,0,97
"ARB (Tree applications)",364,0,2
"Delegated to Ealing",364,0,0
"Lawful Development Certificate (Proposed)",356,0,0
"Removal or variation of a condition",351,0,44
"Observations to Other Authorities",343,79,0
"Details pursuant to a planning condition",341,0,22
