card,form,decided,with_conditions,refused,conditions_pct,refused_pct
terrace,"roof terrace",4537,1996,881,44.0,19.4
air-conditioning,"air conditioning",472,199,64,42.2,13.6
heat-pump,"air source heat pump",597,212,75,35.5,12.6
terrace,patio,4994,1770,1169,35.4,23.4
glass-extension,"glazed extension",121,42,18,34.7,14.9
glass-extension,conservatory,7671,2364,1182,30.8,15.4
wall-insulation,"external wall insulation",86,26,11,30.2,12.8
porch,porch,10570,3186,2297,30.1,21.7
shed,"garden room",444,130,76,29.3,17.1
"householder rooms","rear extension",140559,37963,31738,27.0,22.6
solar-array,"solar panels",1369,361,302,26.4,22.1
shed,outbuilding,8764,1928,1946,22.0,22.2
bin-store,"bin store",1886,362,351,19.2,18.6
"study / gym","loft conversion",24566,2394,4614,9.7,18.8
wall-insulation,"internal wall insulation",1,0,0,0.0,0.0
