kind,decided,clean,with_conditions,refused,conditions_pct,refused_pct
"rear extension",140559,70858,37963,31738,27.0,22.6
"loft / dormer",78739,51340,12764,14635,16.2,18.6
"involves demolition",60869,33779,17257,9833,28.4,16.2
"roof extension",47810,27584,11527,8699,24.1,18.2
rooflights,47481,32018,7440,8023,15.7,16.9
windows,41940,25647,8743,7550,20.8,18.0
"side extension",35821,14683,13922,7216,38.9,20.1
"loft conversion",24566,17558,2394,4614,9.7,18.8
"hip to gable",22753,16412,2284,4057,10.0,17.8
"change of use",21787,10448,4509,6830,20.7,31.3
garage,21463,10418,6267,4778,29.2,22.3
basement,16939,8386,6298,2255,37.2,13.3
balcony,14570,9469,2500,2601,17.2,17.9
porch,10570,5087,3186,2297,30.1,21.7
outbuilding,8764,4890,1928,1946,22.0,22.2
conservatory,7671,4125,2364,1182,30.8,15.4
"boundary wall / fence",7150,3615,2308,1227,32.3,17.2
"bin store",1886,1173,362,351,19.2,18.6
solar,1664,872,426,366,25.6,22.0
insulation,947,529,303,115,32.0,12.1
"heat pump",750,402,249,99,33.2,13.2
"garden room",444,238,130,76,29.3,17.1
