subject,occurrences
"approved plans",2954
materials,1122
"approved drawings",773
"in accordance with approved drawings",592
"cycle parking",402
landscaping,386
"construction management plan",327
"plan numbers",244
"use class c3",214
"external materials",206
"construction method statement",198
"cycle storage",192
plans,181
"facing materials",164
breeam,155
"compliance with approved drawings",154
"construction logistics plan",149
"travel plan",138
"fire safety strategy",131
"variation of condition 2 (approved plans",126
"hard and soft landscaping",122
"materials and finishes",121
"external lighting",116
contamination,115
"detailed drawings",114
"secured by design",113
"sui generis",112
s.73,112
"piling method statement",110
drainage,108
